ID;Titre;Prénom1;Nom1;Prénom2;Nom2;Prénom3;Nom3;Pitch;jour;plage;ID-ctrl;Niveau;Objectif;Salle;Time
25;"Le dessin au service des agents du changement";"Gautier";"LESIEUR";"";"";"";"";"Le dessin nous aide au quotidien, on le voit tous les jours autour des évènements ou sensibilisations agile à travers des affiches, des supports de présentation ou des fresques. J’ai pu expérimenter le sketchnoting dans plusieurs formats dont des fresques en live, cela éveil incontestablement la curiosité des participants. Pourquoi cette communication innovante nous attire tant ? Quels sont les ingrédients qui nous libèrent du regard des autres ou de la peur de l’échec ? Pourquoi le dessin en live nous permet-il de mieux comprendre ? Chacun peut expérimenter, trouver son propre style et c’est gagné !";"Jeudi après-midi";"Court 2";"25";"Shu (apprendre les fondamentaux)";"Partager une expérience";"Belvédère";"17h20 - 17h40"
29;"Oui, seigneur directeur général";"Fabrice";"BLOCH";"Armelle";"KOEHL";"";"";"Rigor Mortis, notre Directeur Général, jette un regard torve à ses serviteurs -pardon collaborateurs- recroquevillés de peur. Encore une fois, son génial plan stratégique a échoué. Quelqu’un doit payer pour ce fiasco.<br>Il va falloir faire preuve de vivacité d’esprit et sortir le grand baratin pour éviter le courroux du Directeur Général.<br>Mais chacun des malheureux collaborateurs est prêt à déformer la vérité, à accuser ses collègues et utiliser tous les moyens nécessaires pour s’assurer que c’est quelqu’un d’autre qui prendra !<br>Et si on devenait liquide ?";"Vendredi Après-midi";"Atelier";"29";"Shu (apprendre les fondamentaux)";"Expliquer des bases";"Chalet 1";"14h10 - 16h10"
33;"Peut-on parler de DevOps sans parler d'Agilité ?";"Vincent";"JOBARD";"";"";"";"";"DevOps est devenu à la mode. On entend beaucoup parlé d' Ingénieur DevOps, d'outils DevOps, de méthodologie DevOps, de workflow DevOps. DevOps donne lieu également à de nombreuses déclinaisons : DevSecOps, DevOps Business.<br>Pourtant, l'essentiel est oublié. DevOps c'est avant tout un état d'esprit qui prend racine dans l'Agilité.<br>Dans cette conférence ouverte à tous, venez découvrir ce qu'est DevOps et ses liens avec l'Agilité afin de vous permettre de mettre en place DevOps sereinement.";"Jeudi matin";"Long 1.2";"33";"Shu (apprendre les fondamentaux)";"Lancer un débat";"Chalet 2";"11h20 - 11h50"
41;"Décider efficacement en équipe oui, mais comment ?";"Frantz";"DEGRIGNY";"Gaelle";"ABAUTRET";"";"";"Nous voulons tous faire partie d'une équipe sympa et performante ! En réalité ce n'est pas magique : des pratiques simples et performantes existent. L'agilité nous propose de maximiser la valeur que nous livrons en misant sur l'intelligence collective. L'équipe est censée s'auto-organiser et prendre ses décisions collectivement. Oui mais comment fait-on concrètement ?<br>En regardant ce qui se fait ailleurs, nous pouvons miser sur l'aspect humain et voir comment les apports des Core Protocols et la pratique du Message Clair (issu de la CNV) peuvent nous aider à rendre notre travail, à la fois, plus confortable et plus efficace, par des exemples concrets basés sur des situations vécues.";"Jeudi matin";"Long 1";"41";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Chalet 3";"09h50 - 10h50"
42;"Systemische weergave van Moordrecht";"Arnaud";"GERVAIS";"Grégory";"ALEXANDRE";"";"";"Nous sommes au XVIIème siècle aux Pays-Bas. Difficile de vivre dans le petit village de Moordrecht où les conflits internes comme les risques environnementaux viennent perturber l'équilibre de ce bourg paysan.<br>Venez découvrir la vie à Moordrecht, celle de ses habitants et de leurs tracas et ensemble nous représenterons, au fur et à mesure, le système que représente ce ce petit village.<br>Cet atelier de Représentation systémique que nous vivrons ensemble sera pour vous l'occasion de découvrir un exercice qui vous permettra par la suite de mieux comprendre votre environnement, sa dynamique et les mécaniques qui se jouent pour créer le status quo ou le changement.<br>Nous parlerons homéostasie, changement de type A ou B, de modèles mentaux, de boucles, de résilience, de loups... et surtout nous les représenterons.";"Vendredi Après-midi";"Atelier";"42";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Belvédère";"14h10 - 16h10"
43;"Faire de l'entreprise une aventure humaine";"Charline";"RENART";"Coline";"GUICHARD";"";"";"Notre présentation est un REX sur la création de l'entreprise dont nous sommes salariés, Coline et moi-même.<br>En 2015, notre entreprise, une ESN, voit le jour à Nantes. Dans un milieu concurrentiel où l'informaticien est bien trop souvent considéré comme un bout de viande, Emmanuel, notre chef, part avec l'envie de créer une entreprise collaborative où il faut bon vivre. En 2019, on est une cinquantaine de collaborateurs en mission et notre entreprise est un peu une deuxième famille.<br>Notre REX raconte :<br>- la création d'un esprit d'équipe fort<br>- la construction de notre entreprise tous ensemble<br>- l'engagement de nos collaborateurs dans l'entreprise.<br>En parcourant l'historique de notre entreprise et les différents obstacles rencontrés, nous vous raconterons nos tentatives, nos réussites mais aussi nos échecs. Bref un témoignage qui vous donnera des idées à appliquer dans vos équipes (pour les manages, scrum masters) ou dans vos entreprises (pour les dirigeants d'entreprise)";"Jeudi matin";"Long 1.2";"43";"Ri (transcender)";"Partager une expérience";"Chalet 2";"11h50 - 12h20"
45;"Un MVP sans code en un mois au Ministère de l'Intérieur";"Dominique";"LEQUEPEYS";"Philippe";"BRON";"";"";"On vous dit que votre entreprise est trop bureaucratique pour le lean startup ? Répondez que même le Ministère de l’intérieur y arrive !<br>Au Lab innovation, on a créé un service en un mois avec un MVP sans code. Au lancement, plus de 100 utilisateurs et des métriques pour justifier plus d'investissement. Découvrez l'intérêt de mettre en prod avant de faire du code.";"Vendredi Après-midi";"Atelier";"45";"Ri (transcender)";"Partager une expérience";"Chalet 4";"14h10 - 16h10"
53;"Agiliser une chaine de valeur en 3 mois (YES!) : de la Stratégie Marketing jusqu’à la boutique - Retour d’expérience";"Moïra";"DEGROOTE";"Laurent";"LAME";"";"";"Si on nous avait parlé de la transformation d’une chaine de valeur de bout-en-bout, comprenant 20 équipes réparties sur 6 Directions, qui aboutit à l’alignement de leurs objectifs ... en 3 mois seulement, on n’y aurait tout simplement pas cru !!<br>Vous êtes sceptiques ? Venez découvrir comment nous avons élaboré une approche décomplexée inspirée de multiples approches d’intelligence collective (Agilité, Design Sprint, Lean 6 sigma, Kaizen, Solution Focus...) pour :<br>- gérer la dimension politique<br>- susciter l’envie du terrain et du management<br>- transmettre que ‘Accélération’ ne rime pas avec ‘Pression’<br>- traiter les particularités liées à une activité opérationnelle (sans IT)<br>Tous publics (Décideurs et Collaborateurs Novices et Experts Métiers et IT)";"Jeudi matin";"Long 1.2";"53";"Ri (transcender)";"Partager une expérience";"Belvédère";"11h20 - 12h20"
55;"Développer sa maturité produit, ce qu'il faut savoir !";"Tiphanie";"VINET";"";"";"";"";"Cette session s'adresse à des coachs devant accompagner des PO/PM, des scrum master travaillant avec des PO et devant faciliter leur quotidien, et enfin des jeunes PO/PM. La connaissance de ce qu'est un produit nécessaire pour que cette session soit pertinente. Comment devient on PM/PO? J'aborde dans un premier temps  mon parcours, comment je suis devenue PM sans le savoir, je raconte avec des chiffres et des anecdotes mon parcours chez un leader du ecommerce, sans les citer. Je fais aussi un parallèle sur comment se nomme, aujourd'hui, des choses faites à l'instinct il y a 7 ou 8 ans. Puis je présente les éléments forts qui aujourd'hui me permettent d'accompagner des PO/PM dans leur monté en compétence et sur quoi je m'appuie pour faire ceci, qu'elles sont les valeurs que je développe chez eux : expertise, organisation, mindset, boite à outils, approche...";"Vendredi Après-midi";"Atelier";"55";"Shu (apprendre les fondamentaux)";"Partager une expérience";"Chalet 4";"15h10 - 16h10"
57;"Préserver la planète par le fret ferroviaire, un modèle d'innovation orientée résultats";"Bertrand";"MINARY";"";"";"";"";"Cette session adressera la transformation Innovation & Digital de Fret SNCF. Acteur majeur du transport ferroviaire, Fret SNCF agit dans un marché ouvert à la concurrence depuis plus de 10 ans. Sur ce marché, les marges sont très faibles, négatives, les assets sont très chers et longuement amorties et les processus sont historiques, sécuritaires et lourds.<br>Et pourtant il est possible d'innover fortement dans ce contexte, en :<br>- considérant l'innovation comme un poste de résultats et non un poste de coûts, avec des projets directements intégrés au P&L de l'entreprise<br>- trouvant les leviers de transformation orientés métier, et non techniques, ce qui n'est pas inné dans les vieilles industries d'ingénieurs<br>- faisant fonctionner un dispositif unique d'accélération des projets hardware et software sous l'angle agile et lean Startup<br>- misant sur une transformation sociétalement entendue et attendue, pour créer les coopérations.";"Jeudi après-midi";"Court 2";"57";"Ha (casser avec la tradition)";"Partager une expérience";"Chalet 1";"17h20 - 17h40"
58;"Bullshit Game : Comment bousculer un Comité de Direction";"Emmanuelle";"LEFORT";"Marina";"SOSNIAK";"";"";"Nous allons vous raconter l’histoire inspirante d’une néo startup de 2 000 collaborateurs agissant en rupture dans l’écosystème phygitale - BULLSHIT !!!<br>Nous, équipe de transfo “so agile change makers”, avons voulu partager avec vous, notre engouement pour un jeu que nous avons créé et animé (et adoré) auprès du comité de direction d’une néobanque.Le bullshit game, c’est un jeu pas très chic mais (gros détail) choc. Volontairement provoc’, il crée la surprise, déclenche des fous-rire, et surtout, chasse le politiquement correct et dénonce le bullshit! Une recette détonante (parfois gênante...) qui fait pousser les émotions et tomber les masques, pour mettre véritablement à l’épreuve transparence et confiance d’équipe.<br>Nous proposons également de raccrocher cette expérience avec l’explication de notre démarche d’accompagnement du CODIR, initiée par la construction et la consolidation de l’équipe et inspirée du modèle des “5 dysfonctionnements d’une équipe” de Patrick Lencioni.";"Jeudi matin";"Long 3";"58";"Ha (casser avec la tradition)";"Tenter un truc";"Belvédère";"10h50 - 11h50"
60;"Presta externes ou insiders : comment rendre addict à la potion Agile les grosses structures ?";"Jean-Michel";"ARNOUX";"";"";"";"";"La présentation s’adresse à deux publics différents et complémentaires. Il s’agit des prestataires Agilistes (SSII), débutants ou non et des acteurs, souvent moins expérimentés que les premiers, des grosses structures (entreprises ou administrations) qui mettent en œuvre ou souhaitent le faire, de l’Agilité.<br>L’objectif est de présenter à chacun, les clés, bonnes pratiques et pièges à éviter pour pratiquer avec succès, l’agilité. Il ne s’agit pas d’un retour d’expérience mais d’un exposé sur les facteurs clés, vus, et c’est l’originalité de la présentation, par un acteur d’une grosse structure, l’Insee. Le client parle aux prestas en expliquant quelques clés pour faire du gagnant-gagnant.<br>L’exposé est jalonné d’illustrations et d’anecdotes. Des éléments de base de l’agilité et de sociologie (le chemin vers l’interdépendance, la socio-dynamique des acteurs, le cargo cult agile, etc.) y sont aussi rappelés de manière ludique. L’exposé est support à échanges avec et entre participants.";"Vendredi matin";"Long 3";"60";"Ha (casser avec la tradition)";"C’est un mélange de bases, de rex et de changement du point de vue habituel";"Chalet 1";"10h50 - 11h50"
63;"Le taoïsme, source d'agilité (extérieur)";"Yoan";"THIRION";"";"";"";"";"Vous avez des livres qui prennent la poussière ?<br>Vous avez vraiment envie de les lire mais vous ne trouvez pas le temps ?<br>La solution: Xtrem reading.<br>Apprenez la lecture collective et lisez 2 livres en 1 heure.<br>Avec ce format d'atelier :<br>- Booster votre intelligence collective<br>- Raviver la flamme de la lecture<br>- Développer votre vitesse de lecture<br>- Prévoir vos prochaines lectures<br>- Ne lisez plus pour rien";"Vendredi Après-midi";"Atelier";"63";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Fermette";"14h10 - 16h10"
67;"Je pilote une transformation Agile, mais chut, je suis un développeur (imposteur), le Frank Abagnale de l’Agilité !";"Eric";"PATRIZIO";"";"";"";"";"Je viens de prendre conscience que je suis un grand malade. Ben ouais, je suis développeur, je ne suis pas coach Agile, je pratique l’Agilité au feeling depuis à peine quelques années, et je suis pourtant responsable de la transformation Agile d’un éditeur de logiciels de 200 collaborateurs dont les produits concernent quasi 1 million d’utilisateurs. Et ce n’est pas fini, ce projet intègre une dimension internationale importante, and my english is very approximatif.<br>Catch me if you can Je suis un imposteur, le Frank Abagnale de l’Agilité, chut, ça reste entre nous ^_^<br>Au cours de cette session, je souhaiterais partager avec vous cette expérience résolument folle, impactante personnellement, émouvante, parfois décourageante, étonnante, mais toujours passionnante. Bienvenue dans ma vie.";"Vendredi Après-midi";"Atelier";"67";"Shu (apprendre les fondamentaux)";"Partager une expérience";"Chalet 2";"15h10 - 16h10"
72;"Magie noire ou comment les All Blacks se construisent hors du terrain ?";"Nils";"LESIEUR";"Stéphane";"BACHELET";"";"";"Les All Blacks, nous pourrions vous en parler pendant 2 jours entiers (envie d’un week-end avec nous ? :)). Mais, nous parlerions sans doute de leurs victoires, des quelques défaites contre le XV de France, de leur suprématie technique, ...<br>Nous pourrions aussi faire un parallèle avec des équipes IT : technique rugbystique (vs kata de développement), d’amélioration continue (vs séance vidéo), d’innovation tactique (vs innovation technologique), ...<br>Mais nous préférons, pendant 50 minutes, nous concentrer sur leurs entraînements en dehors du rugby et de la salle de musculation : ceux qui permettent de fonder un équipe et ceux qui font grandir les têtes des joueurs.<br>Autrement dit, qu’ont-ils mis en place pour pérenniser ces victoires au plus haut niveau ?<br>Comment traduisent-ils leur vision et leurs valeurs pour les appliquer sur le terrain ?<br>Qu’ont-ils mis en place pour gérer la pression dans les moments critiques ?<br>Quels sont leurs secrets ? Quelle est cette magie ?";"Jeudi matin";"Long 1.2";"72";"Ha (casser avec la tradition)";"Lancer un débat";"Fermette";"11h20 - 12h20"
74;"Le Software Craftsmanship expliqué à ma mère, mon PO, mes devs, etc.";"Frédéric";"FAURE";"";"";"";"";"Le software craftsmanship c’est comme le sexe chez les adolescents : tout le monde en parle, tout le monde croit que les autres le font donc tout le monde dit qu’il le fait alors qu’en fait, personne le fait. En m’appuyant sur cette blague honteusement recyclée, j’ai décidé de revenir aux bases du Software Craftsmanship. L’idée de cette présentation est donc de revenir aux origines du mouvement, de parcourir ses concepts clés. On parlera sans doute un peu d’eXtreme Programming, de Domain Driven Design, de dette technique, de refactoring, etc. On dira peut-être du mal d’Uncle Bob et sans doute du bien de Kent Beck. En sortie de cette session, les POs ne seront peut être pas des spécialistes du principe de substitution de Liskov, mais ils connaitront au moins l'existence des principes SOLID. Les devs ne seront peut être pas capable d'animer un shifumi géant mais ils auront, j'espère, envie d'aller voir et comprendre leurs utilisateurs.";"Vendredi matin";"Long 2";"74";"Shu (apprendre les fondamentaux)";"Un peu de tout à la fois, désolé (des bases, mes expériences, lancer des débats...)";"Chalet 2";"09h30 - 10h30"
76;"Pédagogie Agile : Et si l'implication, l'attention, la mémorisation et la gratitude se cultivaient ?";"Manuella";"CHAINOT-BATAILLE";"";"";"";"";"Au cours de cet atelier je vous propose d’expérimenter un éventail d’outils qui favorisent implication, compréhension, mémorisation, attention et gratitude dans les classes. En accord avec les valeurs du manifeste agile, ces outils sont inspirés de la psychologie positive, des pédagogies actives et de la pleine conscience.<br>Ils sont adaptables de la maternelle à l’enseignement supérieur... et même ailleurs.";"Jeudi matin";"Long 1";"76";"Ha (casser avec la tradition)";"Faire vivre une pratique";"Fermette";"09h50 - 10h50"
82;"L’agilité ça ne marche pas ! Ok, mais pourquoi ?";"Emilie";"SULMONT";"Vincent";"FASSEU";"Mickaël";"SEVERE";"Cet atelier est un forum théâtre. Une scénette de 5 min retrace un atelier de rétrospective qui se passe plus ou moins bien, mettant en jeu des  participants et un facilitateur agile.<br>Cet atelier fait intervenir :<br>-un animateur en charge d'inviter les participants à réagir et intervenir sur scène pour tenter de faire changer les choses<br>-3 acteurs faisant vivre la scène et prêt à interpréter les nouvelles situations rencontrées aux vues des remarques des participants<br>-Un facilitateur graphique en charge de collecter graphiquement les échanges.<br>Cette session intéresse tous les coach agiles, novices ou experts ayant une connaissance de la posture agile et des ateliers de rétrospective et qui souhaitent s'améliorer ou partager leurs pratiques. Ils seront à la fois intéressés par l'apport des échanges issues de l'atelier et à la fois intéressés par le format suscitant interactions dynamiques et impliquantes, dont ils  pourront s'inspirer.";"Vendredi Après-midi";"Court 3";"82";"Ha (casser avec la tradition)";"rechercher ensemble des solutions autour de problématiques agiles que l'on peut rencontrer lorsque l'on anime des ateliers agiles. (Format déjà tentée et approuvée au Printemps Agile de Caen en mars)";"Fermette";"16h40 - 17h10"
82;"L’agilité ça ne marche pas ! Ok, mais pourquoi ? (suite)";"Emilie";"SULMONT";"Francois";"BOISSEF";"Florence";"TOUTAIN";"Cet atelier est un forum théâtre. Une scénette de 5 min retrace un atelier de rétrospective qui se passe plus ou moins bien, mettant en jeu des  participants et un facilitateur agile.<br>Cet atelier fait intervenir :<br>-un animateur en charge d'inviter les participants à réagir et intervenir sur scène pour tenter de faire changer les choses<br>-3 acteurs faisant vivre la scène et prêt à interpréter les nouvelles situations rencontrées aux vues des remarques des participants<br>-Un facilitateur graphique en charge de collecter graphiquement les échanges.<br>Cette session intéresse tous les coach agiles, novices ou experts ayant une connaissance de la posture agile et des ateliers de rétrospective et qui souhaitent s'améliorer ou partager leurs pratiques. Ils seront à la fois intéressés par l'apport des échanges issues de l'atelier et à la fois intéressés par le format suscitant interactions dynamiques et impliquantes, dont ils  pourront s'inspirer.";"Vendredi Après-midi";"Cloture";"82";"Ri (transcender)";"Expliquer des bases derrière les bases.";"Belvédère";"17h20 - 18h00"
83;"Le taoïsme, source d'agilité";"Dov";"TSAL";"";"";"";"";"Un voyage de mille milles commence sur le sol sous vos pieds. (de l'Agile Tao)<br>Je vous invite à faire une pause d'une heure près du lac pour:<br>- Découvrir l'histoire inspirante de Lau Tzu, le premier coach agile<br>- Lire ensemble ce que le taoïsme a à dire sur: L'Agilité, la fonctionnalité, gestion des produits, transformation à grande échelle et le leadership par le service.<br>- Re-connecter aux racines du mouvement agile<br>- Et comprendre les conseils de Lau-Tzus pour une transformation réussie, tirés de la douloureuse transformation de l'empire chinois pendant la dynastie Quin.<br>Remarques:<br>La session est basée sur «The Agile Tao» de Peter Merel (fondateur de l'alliance XScale)<br>On va le faire dehors.<br>Audience de la session: Tout le monde est le bienvenue.<br>Public: jusqu'à 30 personnes près du lac.<br>En cas de pluie, nous trouverons un espace alternatif.<br>nous distribuerons tous les poèmes discutés en anglais et en français aux participants";"Vendredi Après-midi";"Exterieur";"83";"Ha (casser avec la tradition)";"Partager une expérience";"Chalet 3";"14h10 - 16h10"
